645.346 km,645.346 km, T," Choi, Donald",USA,23.07.1948,M23,1,10.07.1980,"Woodside, CA (USA)"
563.270 km,607.430 km, T," Collins, Dick",USA,1933,M45,1,10.07.1980,"Woodside, CA (USA)"
523.036 km,615.699 km, T," Nagelschmidt, Fred",USA,20.05.1924,M55,1,10.07.1980,"Woodside, CA (USA)"
482.803 km,483.335 km, T," Buenfil, John",USA,1946,M23,2,10.07.1980,"Woodside, CA (USA)"
814.200 km,856.512 km, T," Newton, Mike",GBR,01.11.1938,M40,1,14.11.1981,Nottingham (GBR)
696.800 km,702.419 km, T," Harney, Brian",GBR,11.05.1945,M35,1,14.11.1981,Nottingham (GBR)
696.800 km,712.183 km, T," Morris, Tony",GBR,1941,M35,2,14.11.1981,Nottingham (GBR)
652.400 km,703.548 km, T," Campbell, Malcolm",GBR,17.11.1934,M45,1,14.11.1981,Nottingham (GBR)
608.400 km,615.665 km, T," Towers, John",GBR,1943,M35,3,14.11.1981,Nottingham (GBR)
578.600 km,603.715 km, T," Dixon, Colin",GBR,20.04.1939,M40,2,14.11.1981,Nottingham (GBR)
568.000 km,568.000 km, T," Hayward, Dave",GBR, ,#NA, ,14.11.1981,Nottingham (GBR)
554.200 km,629.344 km, T," Parsons, Gerald",GBR,1928,M50,1,14.11.1981,Nottingham (GBR)
458.800 km,503.236 km, T," Teesdale, Joe",GBR,1932,M45,2,14.11.1981,Nottingham (GBR)
446.600 km,446.689 km, T," Holmes, Bob",GBR,1948,M23,1,14.11.1981,Nottingham (GBR)
424.866 km,424.866 km, T," Richardson, Geoff",GBR,1951,M23,2,27.06.1981,"Pennsauken, NJ (USA)"
412.400 km,412.400 km, T," Richardson, Geoff",GBR,1951,M23,3,14.11.1981,Nottingham (GBR)
692.017 km,697.598 km, T," Barner, Park",USA,1944,M35,1,27.06.1981,"Pennsauken, NJ (USA)"
585.600 km,586.245 km, T," Choi, Donald",USA,23.07.1948,M23,1,14.11.1981,Nottingham (GBR)
556.800 km,558.307 km, T," Shapiro, Jim",USA,1946,M23,2,14.11.1981,Nottingham (GBR)
552.809 km,552.920 km, T," Sweetgall, Robert",USA,1948,M23,3,27.06.1981,"Pennsauken, NJ (USA)"
540.739 km,559.887 km, T," Peck, Bill",USA,1939,M40,1,27.06.1981,"Pennsauken, NJ (USA)"
528.669 km,530.100 km, T," Dodd, Ed",USA,1946,M23,4,27.06.1981,"Pennsauken, NJ (USA)"
496.884 km,499.381 km, T," Branson, Al",USA,1945,M35,2,27.06.1981,"Pennsauken, NJ (USA)"
